Question,Category
اعاني من ضيق تنفس مع كتم في ابتثاؤب ومحاولة التنهد العميق حتي اشع. بالراحةا لا اسعل ويوجد تنقيد انفي خلفي مزمن ووجود مخاط بشكل مستمر وندوله بالحلق ابيض واو اصقر...,أنف وأذن وحنجرة
هل ثؤثر ممارسة العادة السرية على خصوبة الحيوانات المنوية ؛ وهل بعد ترك العادة السرية من الممكن أن تعود الخصوبة الى طبيعتها ؛ وكم هى الفترة الزمنية اللازمة لعودة الخصوبة...,المسالك البولية
أشعر بألم جنب العمود الفقري جهة اليمين و بعد يومين شعرت بألم أيضا في آخر القفص الصدري جهة اليمين وذلك بعد تعرضي للتكييف و احس براحه مؤقه عند استخدام جل...,العظام والمفاصل
سلام عليك لدي حبه في الثدي الايسر منذ ٨ سنوات وهي متحركه ولم يتغير حجمها ..هل هي حميده ?!,الأورام
السلام عليكم أسأل عن حقن ديسكاميثازون هل هي علاج لالتهابات المفاصل ام مجرد مسكن مؤقت,التغذية والدواء
ابنتي 3اشهر اصيبت عند الولادة بشلل نصفي للضفيرة العضدية وبعد مرور شهر بدات تحرك يدها وتثني مرفقها وتحرك كتفها.هي الان تقريبا شفيت ولكن يدها عند الكوع اعوجت قليلا.ما تشخيصكم.,صحة الطفل
أنا عندي فلات فوت.. هل هو عظمي ولا لحمي و ايه درجته وهل يعفي من التجنيد؟ مرفق صور للأشعة و صور للقدم عند الوقوف على مشط الرجل,العظام والمفاصل
ابني لم ينفع معه كريزيو في علاج تينيا فروة الرأس وقرر أن يعطيني تربينافين ما الفرق بينهما هل سينفعه التربينافين أكثر من الجريزيو,الجلدية والتجميل
منذ حوالي ثلاثة أشهر ظهرت تكتلات في الثدي غير منتظمة الشكل والحجم مرة تكون متحجرة ومرة مطاطية ومرة تكون من بداية تحت الإبط لنهاية الثدي وغالباً في الثدي اليمين وأحياناً...,الأورام
اين تقع فتحة البول و ما شكلها وما المسافه بينها وبين البظر و كم تبعد عن فتحة المهبل,المسالك البولية
بنتي عندها 21 سنه وبتريل وهي نايمه وهي داخله ع جواز اعملها اي,طب وصحة الأسنان
"اعاني من ضيق تنفس وتعب من اقل مجهود وتنميل في الارجل بشكل لا يطاق
عملت موجات صوتيه ع القلب يوجد صمام يسمح برجوع الدم",القلب والأوعية الدموية
اعاني من حالة اكتئاب حاد رغن سني الدي لم يتجاوز 14 سنة بسبب ضغوط نفسية عائلية و دراسية و عاطفية و لم اتمكن البتة من التخلص منها رغم محاولاتي العدة,الصحة النفسية
"بعض الاحيان تأتي دوخه وصداع اما خفقان فمرات وليس بالكثير
ولكن انا ذهبت لدكتور الانف والأذن فقال لدي لحمية وميلان
هذا جوابي على استفسار. الدكتور",القلب والأوعية الدموية
"عملت عمليه ربط وتر بااصبع الخنصر وتم وضع جبيرة اليوم اليوم التاسع واشعر بألم غريب ونبض بالاصبع هل هو طبيعي علم بأن الانتفاخ الاصابع بدأ من يومين
واخذ حبتين بنادول...",العظام والمفاصل
يوجد لدي فالخصية اليمنى احد العروق لونه ازرق وهو مسبب لي ألم بسيط اريد اعرف كيف يذهب وماذا سببه وهل الخصية سليمه وماهو علاجه,المسالك البولية
السلام عليكم رجاء لاتستغربو من سؤال أصبحت أشعر أنا أساني أصبحت صغيرة بسبب التقويم ولسا أنا في مرحلة العلاج باقي سنة للعلاج,طب وصحة الأسنان
اشكي من الام في الاذن اليسرى طيله الوقت وتتبعها الام في الحلق بنفس اتجاه الاذن المتضرره ولي الى الان 3 اسابيع ...فما هي الاسباب المؤديه لهذا الالم ؟؟؟؟,أنف وأذن وحنجرة
السلام عليكم اعاني من تبول لا ارادي علماً ان عمري ٢١ وهذه المشكله اعاني منها من الصغر، عملت اشعه وعملت تحليل تبول لا يوجد لدي مشكله لا التهابات ولا مشكله...,المسالك البولية
اعاني من الاكتءاب ذهبت لطبيب نفسي وصف لي اتيميل و عندما استشرت طبيبا نفسيا اخر قال لي هذا الدواء لا يعالج الاكتءاب بل يستعمل لعلاج الارق فقط و أنه علي...,الصحة النفسية
اهل دكتورا انا تناولت السيليستان2 هدف زيادة الوزن لمدة عام بمعدل قرص واحد يوميا واود ان اوقفه كيف اخفض الجرعات انا جد قلقة وندمة وهل الاقاف المفاجىء خطر ع حياتي...,التغذية والدواء
"الطنين في الاذن اليمني ويصاحبه دوار وغثيان من حين لاخر
رجاء الاستفسار عن الحل الطبي الصحيح لاني تعبت من التشخيصات الخطأ",أنف وأذن وحنجرة
اعاني حركة غير ارادية لإصبع سبابة يدي اليمنى منذ مدة اكثر من 6 اشهر . اعتقدت انه التعب او الارهاق لكن رغم ذلك لم اشفى منه هل من تشخيص للظاهرة,العظام والمفاصل
هل تنصح باعطاء طفل ذات الثماني اشهر فيتامين دال؟,صحة الطفل
طفلي عمره8سنوات منذ سنتين يعاني الم بطن وقى على فترات متباعده دون وجود سبب واضح,صحة الطفل
"ضغطي غير مسبب اول الاسبوع كان200علي 100 وعملت حميه وعلاج وانخفظ تدريجياالان130علي80 العلاج بيستول5g
هل بالامكان ان اشرب العلاج عند اللزوم او يكون شرب العلاج يوم ويوم وشكرا",القلب والأوعية الدموية
لديه التهاب في الجيوب اﻻنفية من اكثر من 6 شهور مع انعدام حاسة الشم و يوجود مخاط اصفر ﻻ ينتهي بالمضادات الحيوية جربت العديد من المضادات بدون فائدة .. ارجو...,أنف وأذن وحنجرة
اتحسس شيئ متراكم متل عروق خلف الخصية اليمنى هل هو شيئ عادي,المسالك البولية
"هل من اعراض التهاب الكلى او الفشل الكلوي الشعور بالألم الشديد من الجهة اليسرى من الخلف؟
وماهو سبب الشعور بالحراره والحرقان في باطن الكفين والقدمين ؟
ارجو الرد بالتفصيل وشكراً",الباطنة والغدد الصماء
ابنتى 6سنوات تتبرز براز فيه خيوط رغم انها تاكل الاطعمة الصلبة ماهي الاسباب والعلاج,صحة الطفل
عندما اشم رائحة العطر او البخور يحدث لى صداع شديد فورى مع العلم انى كنت اضع العطر بكثرة وانا صغير,الأمراض العصبية
لدي طفل عمر 7سنوات تاخر النطق تم تشخيصه طيف توحد . علما با الطفل ذكي وتواصله مع العائله 70 بالميه سليم البدن نموه طبيعي سمعه سليم .. تم دمجه مع...,صحة الطفل
دكتور انا فطمت بنتي من اسبوع لكن اللبن موجود بغرازه في صدري وبيسرب وعندي صدري الشمال مكلكع من الجنب هل ليه علاج مع العلم ان عندي وراثه في عائلتي مرض...,الأورام
ابني 6 سنوات ومنذ 4 أشهر عمل عملية تثبيت قرنيه مخروطيه. .واخبرونى انه لا يمكن عمل تصحيح لنظره بالليزر عندما يكبر. .هل هذا صحيح. .وما هي أسباب القرنيه المخروطية,طب العيون
اعانى من الحساسية المزمنة للعين وقد ارسلت اليكم قبل ذلك انى ذهبت الى عدة اطباء ووصفى لى قطرات عديدة ولكنها لم تجدى نفعا فهل من الممكن انكم تكتبوا لى علاج...,طب العيون
أريد عمل حشوة لكثر من ضرس لدي ولكن يوجد لدي صرع الجزئية أو التشنج فالجهة الايسر هل يسبب اي شي سوال أخر هل عمل حشوة لجميع ضروس يسبب اي شي,طب وصحة الأسنان
عمرى 17 سنة كان وزنى 100 كيلو عملت رجيم من شهر 3 فاصبح وزنى 75 كيلو فى شهر 6 لكن اعانى من تضخم الثدى لدى واخاصة الحلمة بماذا تنصحونى ؟,الباطنة والغدد الصماء
"أعاني من ألم في ظهري من جهه اليسار خلف القلب تقريبا مع نغزه قويه بالقلب , كل ما أتألم بظهري تأتي النغزه بقلبي, خاصه في وضعيه الجلوس . ما هو...",القلب والأوعية الدموية
والدتي تعاني من التهاب بالجيوب الانفيه وهي تعاني من هذي للمشكلة من خمس سنوات أرجو منكم ان تساعدوني بوصف العلاج المناسب لها فهي حالتها تزداد سوء معا العلم أمي عمرها...,أنف وأذن وحنجرة
أنا رجل عمري 40سنة اشكو من تنمل في قدمي اليسرى؟ماسببه؟وماعلاجه؟,الأمراض العصبية
اعاني من حكه شديده مع وجود حب بشكل متبعثر لا اهدء الا بعد ظهور الدم منها وتزداد عند التعرق علما انها كانت عند اخي وانتقلت الي ما العلاج بارك الله...,الجلدية والتجميل
"إذا كان الشخص مصاب بمرض الكبت النفسي المنخفض
وكان يفعل العاده السريه ماهي الأضرار إلي راح يواجهها",الصحة النفسية
السلام عليكم الموضوع طنين في الأذن مع ضغط في الأذن اليمنى اعني من مشكلة منذ عام تقريبا بدات اسمع طنين خافت في الاذنين بدون اعرض اخرى بعد عدة ايام اصبح...,أنف وأذن وحنجرة
منذ اربعة اشهر اضطررت للوقوف فترة طويلة حوالي 7 ساعات وانا ارتدي الكعب العالي وفي اخر النهار احسست ان شيء ما تمزق في قدمي في منطقة فوق الكعب ولاتزال تؤلم...,العظام والمفاصل
ما سبب كسل الغدة الدرقية حيث أني متزوجة منذ ٦ سنوات ولم أعاني منها وجميع تحليلي السابقة ممتازة بمعدلها الطبيعي فجأه من عدة أشهر أرتفعت بالتدريج من ٧-ثم ٨-ثم ١٠صرفوا...,الباطنة والغدد الصماء
"السلام عليكم
أنا أعاني من ألم في ثذيي الأيسر بالجانب الموالي للابط كما أحس بشيء متكثل فيه لا اعلم إن كان طبيعي فالثدي ام لا
للعلم انا شابة أبلغ من...",الأورام
انا رضعت ابني شهروعمرو هلاء سنه وشهرين والحليب ماراح من صدري لسه بينزل احيانا وبس اعصرو بينزل ممكن اعرف اذا في مشكله او طبيعي وشكرا,صحة الطفل
"مرحبا انا شاب عمري 36 سنة في بعض الاحيان اعاني من نخزة عند القلب واحس عندما اتنفس لاتصل كمية كافية من الهواء الى المنططقة السفلى من القلب
اي اشعر بانقباض...",القلب والأوعية الدموية
عيني بترف جامد وحاسس كان فيها كهربه وتعباني جدا وحاسس بجفاف فيها دايما وكنت هاخد قطره هاي فرش,طب العيون
اختي بتعالج كيماوي و قد استاصلت تديها هل هناك اغدية لا يجب ان تتناولها انصخنا دكتور,الأورام
هل اللب الابيض الغير مملح يتسبب فى زيادة الوزن - وهل يتسبب فى الاصابة بداء السكرى - وهل يسبب حساسية,القلب والأوعية الدموية
"ولدي منذو ٤ ايام تقربيا فيه حراره والتهاب بالحلق
وقال الدكتور الفيفادول والنيوروفين فقط يومان والمصاد خمسه ايام
الان الحراره ترجع اذا خلص مفعول الدواء",صحة الطفل
"عملت فحص سائل منوي
وطلع عندي نسبة الالتهاب عاليه
وحركة الحيوان المنوي 30%
والتشوه 40%
وعدد الحيونات المنويه 38 مليون
ph قلوي
والكميه 1.5ml
فما النصيحة",المسالك البولية
بنتى بتنزل لبن سايب من جمب فمها كل شويه دا سببه انتفاخ ولا ايه السبب,صحة الطفل
"هل العدسات اللاصقه الطبيه
مثل النظارات بضبط
وهل لها مقياس مثل النظارات ؟ حسب العين ؟
وهل يستطيع طبيب العيون ملاحضتها من بعد او من قرب دون ان اخبره بانني...",طب العيون
هل يمكنني ان اشرب طفلتي عمرها شهر ونصف حليب صناعي دافئ وهل حرارة الحليب يجعلها تنام بهدوء أكثر,صحة الطفل
عملت إيكو للقلب وعاوزة أعرف نتيجة,القلب والأوعية الدموية
تورم جانب الوجه بشكل غريب ومفاجئ,الأورام
"السلام عليكم ورحمة الله وبركاته
اشعر وانا جالس بمكاني بدوخة تستمر لثواني واحس الدنيا تلف
تكررت معي الحالة بفترات متباعدة نسبيا
والامر بدأ معي منذ بضعة اشهر
انا ذكر عمري...",القلب والأوعية الدموية
ان انا مريض للسكر اريد وجبات الافطار و الفداء و العشاء ان تحاليله كلها مرتفع من الانسلون عطلات جسمي كلها تئلمني ترجىء الأخاب بسرعة من فظلكم,التغذية والدواء
ما هو السبيل للتخلص من مرض الضغط بسرعة دون استخدام العلاجات,القلب والأوعية الدموية
"هل من الممكن لتحليل الدم ان يكشف عن وجود امراض خبيثة؟
ام هناك تحاليل اخرى يجب اخذها بعين الاعتبار؟",الأورام
ما هي محفزات الشهية عند طفل 5 سنوات؟,صحة الطفل
ما اسباب ظهور ليف في الرحم,الأورام
عندي تمزق في الغضروف المفصلي بسبب الرياضة تليه تجمع ماء يسمى بالكس او backerzyzte والطبيب يقول لازم العملية بس انا ادرس و سوف يصير معي مشكلة ان عملت العملية هل...,العظام والمفاصل
ماهو علاج القصبات الهوائيه عند الاطفال,صحة الطفل
اعاني من الم في الصدر اشبه بالضغط وكان شيئ ثقيل فوق صدري يمتد الى الضهر وضيق تنفس شديد وتسارع في ضربات القلب بشدة ونبض في البطن مرتبط بدقات القلب فكلما...,القلب والأوعية الدموية
كان شعري طويلا وغزيرا وقلت كميته جدا الى اقل من ربع كميته في الطفوله,الجلدية والتجميل
السلام عليكم .. عمرى 14 عام واريد انا امارس رياضة كمال الاجسام فهل جيدة ام ماذا ارجو التوضيح,التغذية والدواء
انا عمري23 وقبل 6شهور تقريبا حسيت بالم بالثديين وفيه كتلة في الثدي الايمن وعند لمس الثديين الحلمة تنكمش والحين اشعر بالم ثانية مره ارجوكم طمنوني هل هذا مرض خبيث وشكرا...,الأورام
منذ اربعة ايام وضعت ماسك على وجهي محتواه خميرة،ماء الورد عسل نحل، فتسبب في ظهور حب تحت الجلد. هل اتركه الى ان يزول وحده ام هناك طرق? و في كم...,الجلدية والتجميل
كيف أتخلص من حساسية الجلد .,الجلدية والتجميل
"السلام عليكم
هل يمكن استخدام د-بانثينول ٥% كريم كمرطب بشكل يومي للبشرة المختلطة بعد غسلها ؟",الجلدية والتجميل
هل لنمو اضراس العقل علاقة بكثر اللعاب اثناء النوم ؟,طب وصحة الأسنان
"قمت بعملية لاستئصال "" الاورام الشحمية (الليبوما) ""اسمها بالفرنسية ""lipome"" بعد العملية بربما 15 يوم حدث انتفاخ و مر شهر و نصف ولازال الانتفاخ هل سيزول مع الوقت ام تحتاج...",الأورام
عمري 46 سنة واشكو من ضعف شديد في لياقتي البدنية بعد أن تجاوز وزني 112 كيلو وصرت أعجز عن ثني بعض مفاصلي ...سؤالي هو هل توجد أمامي فرصة لاستعادة لياقتي...,العظام والمفاصل
ما هو الورم الكيسي وهل يتحول إلى خبيث في حال عدم المعالجة السريعة وما هي عوارضه وما هي كيفية معالجته,الأورام
عندي 3 حصوات في الحالب اكبرها حجمها 3 هل تعتبر كبيره ام لا.علما اني اعاني من حرقه شديده وألم هل ستنزل قريب علما اني استخدم ادويه بوصفة طبيب,المسالك البولية
هل العملية الجراحية كافية للشفاء من مرضن سرطان الغدة الدرقية مع العلم اني اجريت عملتين جراحيتين وما هي نتائجها هل صحيح ان المرض يمكن ان ينتشر بسرعة بعد العملية,الأورام
هل يمكنني تناول ثلاث حبات من فلونازول ٥٠ بدل حبة ١٥٠؟,التغذية والدواء
"السلام عليكم ورحمة الله تعالى وبركاته
أعاني من جميع الاعراض الموجوة في مرض النوم الانتيابي او بما يسمى ب narcolepsie
من فضلكم اريد معرفة اي دواء استعمل
-الوزن 85كلغ",الباطنة والغدد الصماء
هل العملية الجراحية على مستوى المخ لاستاصال ورم ارومي دبقي للمرة الثانية بعد خطيرة و هل هناك أمل في العيش مع هذا الورم,الأورام
عندي كتلة صغيرة تحت الجلد في الجزء الأعلى من يدي وهي لا تؤلم وغير متحركة اكتشفتها مند بضعة اسابيع علما ان المنطقة الموجودة فيها هده الكتلة فيها ندبة ناجمة عن...,الجلدية والتجميل
ابنتي 6 سنوات تعاني منذ 5سنوات التهاب الإذن شلت لها اللوز واللحمية وأخذت مضادات حيوية كثيرة لكن مانفع الالتهاب مازال مستمر يطلع صديد وبدون ألم واللحمية رجعت ونزل منها دم,صحة الطفل
ابنتي عمرها سنتين و اشهر .تعاني من بطاء بالفهم يكاد يكون قليل جدا ولاتستطيع التكلم فقط.دندنه وتقول مقطع ماما بابا باي باي تم تشخيصها تاءخر نمائي هل يمكن الشفاء منه,صحة الطفل
توضيح للسؤال لماذا احس بصوت كسر عندما اجلس فجأة بصورة مستقيمة او عندما ارجع راسي للخلف مع جعل صدري إلى الأمام.؟؟عمري 19 عام. .هذا حدث بعد ان بدات اجلس مستقيمة.,العظام والمفاصل
ماهي أعراض مرض الزهايمر,الأمراض العصبية
افكار عن الموت والمرض,الصحة النفسية
"أعاني من أرتفاع في نسبة الكولسترول في الدم والدهون الثلاثية وعمري 35 سنة والنسب هية -Cholesterol 265- Triglyceried 250-وحسب علمي أفضل نوع موجود في السوق i, حبوب الكور بلس -10/20...",القلب والأوعية الدموية
التبول الاارادى عند ولد سنه 15 سنه طوال اليوم ليل النهار ايه الحل ؟,صحة الطفل
هل يسمح بأخذ ادوية الرشح واي دواء عادي وحبوب الفيتامين مع استخدام الريتنان عيار 10؟,التغذية والدواء
"عندي مشكله وهي كتالي
حراره شديده في باطن القدمين
تعب شديد . وخمول في العضلات.
الاحساس بوكز في المفاصل",العظام والمفاصل
قبل يومين جاني ألم بقلبي وبعدها امتدد هاذا الالم وصل ليدي اليسرى وصارت يدي اليسرى مره تألمني وثقيله جداً وصار قلبي ويدي اليسرى يألموني في اليوم الثاني بديت اعرق والجو...,القلب والأوعية الدموية
كيف يتم ازالة وعلاج الجير على الأسنان ؟؟,طب وصحة الأسنان
اريد حل للتشققات والخطوط البيضاء في الجسم ..,الجلدية والتجميل
كيف ازيل اثار الحروق القديمة و هل ستزيل نهائيا,الجلدية والتجميل
لدي بلغم عالق في خلف حلقي وانتفاح في اللوزتين والم في الحنجرة يذهب ويعود فما تشخيصكم لحالتي,أنف وأذن وحنجرة
سلام عليكم اعني من الام اسفل ضهر ونزول ماء اصفر من حلمة ثدي,العظام والمفاصل
السلام عليكم يا دكتور انا اتعالج من وسواس قهري وباخد برشام بروزاك ليا خمس اسابيع والواساوس خفت بس حاسس بقلق شديد جدا وكمان حصلي رعشه في اديا لو سمحت عاوز...,الصحة النفسية
حدد ورم فوق المبيض الايمن 19سنتم وحددت الدكتورة عملية استئصال الورم مع المبيض كم نسبة وجود ورم خبيث مع العلم ابنتي عمرها 18سنة,الأورام
هل الامساك أو أمراض القولون تؤثر على الانتصاب و القدف ؟؟؟ كلما كان لدي امساك، أجد صعوبة في الانتصاب و المني كأنه نفد، و هدا الأحساس أحسه أسفل بطني على...,المسالك البولية
السلام وعليكم لدي بنت عمرها 11 شهر فقدت السمع بسبب الرشحة القوية مع حرارة وهيا في 9 شهور واجرينا تخطيط سمع لكل الاذنتين ووصل 99 ديسيبل ولم يستجيب وصورة طبق...,أنف وأذن وحنجرة
هل يعتبر تضييق الاورده الرئويه وبعض الشرايين واصبت مؤخرا بارتجاع الصمام الثلاثي مرض وراثي يمكن ان ينتقل لابنائي لو تزوجت بقريب؟,القلب والأوعية الدموية
السلام عليكم ورحمة الله لي ابن عم ضرب في عينه اليمني وذهب لعدة اطباء واجمعوا علي التمام الجرح الداخلي الا انه منذ 3 ايام فقدة القدرة علي تحريك اليد والقدم...,طب العيون
السلام عليكم انا عندى 28 سنه يحدث لى اثناء النوم اننى اضغط على اسنانى بشدة واحدس اصواط باسنانى واقوم بستمرار تحريك رجلى بصوره مستمه عند التفكير وشكرا,الصحة النفسية
"السلام عليكم
ولدت قبل شهر ونص ووزني كان في بدايه الحمل ٥٧ ولأخر الحمل صار ٨٧ كغم ولدت ونزل لـ ٧٨ بدي انزل وزني لوزن ما قبل الحمل علماً اني...",التغذية والدواء
كيف اخسر الوزن الزائد؟ وزني ٧٥ و طولي ١٦٢,التغذية والدواء
مرحبا انا مصاب بطلق ناري في اظهر وتئزا النخاع الشوكي واصبح معي شلل سفلي هل من علاج,العظام والمفاصل
اشعر برعشة في اليد والساق اليمني مع تنميل في الاصابع بشكل مستمر,العظام والمفاصل
الام الصدر الجهة اليسرى,القلب والأوعية الدموية
مرحبا دكتور ما هي نسبه الاعتياديه ال حمه المالطه,الباطنة والغدد الصماء
لدي رجفه في الصدر ونبضات غير منضمه في القلب ومتساعه مع العلم اني عملت تخطيط واشاعه موجات صوتيه واختبار جهد و جهاز هولتر ولله الحمد لم تظهر الفحوصات باي شي...,القلب والأوعية الدموية
عمري 18 اعاني من ثآليل صغيره في منطقة الشرج والدكتور وصف لي محلول افوماك هل هذا ينفع للثآليل بمنطقة الشرج واذا ماكان ينفع ايش البديل,الجلدية والتجميل
اعاني من تسارع نبض القلب و عدم انتظام و انا مريض كورونا هل من الممكن اخذ كونكور 2.5,القلب والأوعية الدموية
عمري 52سنه عندي الم شديد وتيبس وانعقاد في مفاصل اليد وخصوصا الاوسط والخنصر من كل يد تحاليلي نظيفه وتخطيط الاعصاب كويس لكن الم شديد ساعة الصبح وحدوت فرقعه عند فتح...,العظام والمفاصل
انا شابة ٢٨ عام اعانى منذ ٨ سنوات بسرعة ضربات القلب وهذا بعد حدوث حادثة سيارة واتضح انه ارتخاء ف الصمام الميترالى واخذت دواء بيتاكور ٨٠ قرص واحد يوميا كيف...,القلب والأوعية الدموية
ابنتي عندها ٨ سنوات اصيب قبل ٤ ايام بالتهاب اللوزتين والبعوم حسب تشخيص الطبيب ومنذ ذلك الى الان لديها غثيان مستمر خصوصا بعد الاكل واصيبت بامساك ايضا,صحة الطفل
"السلام وعليكم
ما هي أسباب و علاج طقطقة مفاصل الفك؟",العظام والمفاصل
كم نسبۃ نجاح عمليۃ استءصال ورم سرطان الغدۃ الدرقيۃ,الأورام
مرضع ولدت لأول مره بعملية قبل شهر من اليومالحليب قليل جدا الطفل ما يشبع وفيه ضعف قوي في الشهيه ايش الحل ؟هل هناك علاج أو مكمل غذائي أو أي شي...,صحة الطفل
هل التهاب القصبات المزمن معدي ؟,أنف وأذن وحنجرة
انا عندى الغده وبتخلينى انام كتير وبتوهنى وعوذ اعرف العلاج او اسم دكتور ممتاز علشان يعلاجنى وشكرا,الباطنة والغدد الصماء
اشعر بالغثيان والصداع بعد عودتي لألعاب الفيديو مع ذلك فإن بصري سليم وقد تركت الألعاب فترة وعندما لعبتها لدقيقة اشعر بصداع بجانبي الأيسر من الدماغ والعين كذلك ؟,الباطنة والغدد الصماء
عمري 21 سنة أعاني إعوجاج في الساقين ما الحل و إذا كانت عملية جراحية فماهي قيمة تكلفتها في تونس,العظام والمفاصل
ما الطعام المناسب لطفله 9 اشهر الاطعمة التى تم ادخالها حتى الان حبوب أرز و قمح و خضروات كوسه و بطاطس و جزر و بطاطا و فواكهه موز و تفاح...,صحة الطفل
"مساء الخير على جميع زملائي واصدقائي .
اذا امكن انا محتاج معلومة حول كيفية المعالجة بلطب البديل المسامير التي تظهر في القدم بسبب المشي والوقوف.
وشكرا لكل دكتور موجود هنا...",الجلدية والتجميل
مرحباعندطفلين الأول عمرة سنةوتسعة أشهر والثاني عمرة46 يوم رؤسهم يجلسين حرنات وصل حتي لوكان الجوبرادهل في خطورة اماهذطبعي علمان اني ولدت بهم في عملية قيصرية هل لة تأثير على ذلك,صحة الطفل
"وجع اسنان بعد عمل الحشوة
و الحشوة سوسة عادية بدون عصب ياريت تحكيلي شو السبب الوجع طاحونة الي يومين عملاها وطاحونة الي ٩ ايام بطيب و بترجع توجعني ومابقدر اكل...",طب وصحة الأسنان
"دخلت مدرسة حلاقة و تحسنت
هل تبدد الواقع حقيقي?يعني هل فعلا العالم غريب اصلا لاكن لا يركز في هذا إلا القليل?أم هو شعور مفبرك من الدماغ لا أساس له من...",الصحة النفسية
اعاني من تقرحات في الفم بسبب طاقم الاسنان الاصطناعية الجديد ولقد ذهبت لطبيب اكثر من مره هل هناك حل اخر من غير مضمضة بالماء والملح,طب وصحة الأسنان
هل الاحتكاك يتحول لي غظروف في الفخده,العظام والمفاصل
السلام عليك عمري 19 عام مشكلتي قصر القامة 167 هل من أمل في زيادة الطول عند وصولي سن 21 إنشاء الله ولو ب 175 سم إلى أنني اشتريت جهاز العقلة...,العظام والمفاصل
السلام عليكم بعد تبرع بدم أصبح قراء الضغط ما بين 150/80 او 140/75 مع شعور بدوخة انخفاض القراء السفلي خصوصا في الليل و عند الوقوف علاج الضغطcoaporvel 150/12. 5 لكم...,القلب والأوعية الدموية
انا عمرى ٢٧سنة ووزنى ٩٥ك وطولى 160 سم جربت الابرالصينية والساوناوالجيم وبعض انواع الرجيم والرجيم الكيمياوى فصيلة دمى a كنت بتعلاج من حساسية الصدر وانف وجلد واعانى ايضا من غزارة...,الباطنة والغدد الصماء
"السلام عليكم , اعاني وانا صغير لحتي الآن من خوف شديد يصاحبها كثرة دقات القلب ورجفة في اليدين والرجلين وقلق عندما اواجه اشخاص او جماعة اخف المرتفعات من ركوب الاصنصير...",الصحة النفسية
أعاني من خروج مخاط مع البرازلا اعلم مالاسباب ذهبت الى الطبيب وطلب تحليل دم وبراز واشاعة صوتية وقال التحاليل سليمة كتن قبل ذلك اعاني من امساك شديد جدا واما الآن...,الباطنة والغدد الصماء
"السلام عليكم
اعاني من ظهور حبوب دهنية بكثرة على وجهي وعند ازالتها تبقى اثار سوداء مالحل لمنع ظهور هذه البثور علما بان بشرتي دهنية
وشكرا",الجلدية والتجميل
منذ 3اشهر اصبت بأنفلونزا انسد انفي و احسست بشد في اذني مع نقص طفيف في السمع اجريت تخطيط سمع و منظار انف و كلها سليمة مع اني اعاني من طقطقة...,أنف وأذن وحنجرة
اعاني من وسواس قهري ونوبات هلع واتناول لوسترال واشعر بثقل كبير على راسي وجسمي واشعر ان يدي ثقيلة وتلتوي وتتيبس هل الامر خطير؟ وهل هذا من الدواء او من الهلع...,الصحة النفسية
"التهاب البنكرياس .. اعراضه واسبابه وعلاجه .. والدكتور المختص للحاله افضل تخصص للحاله للتوجه اليه للكشف والمتابعه ؟؟
شكرا",الباطنة والغدد الصماء
اعاني من نقص الوزن واريد ان ازيد وزني 5 كيلو على الاقل كيف ذلك رجاءا,التغذية والدواء
الم في الفخذ الايسر من الخلف ناحية العضلة الضامة يزيد عند الجلوس او تحريك الفخذ بطريقة معينة هو قريب انه يكون عند منطقة الجلوس نفسها لما بقعد علي قاعدة الحمام...,العظام والمفاصل
انا ذهبت لمركز العيون و عملت فحص شامل للعين النظر طبيعي و ضغط العين طبيعي و كل شي طبيعي و الالم خف بكثير بس انا اريد إخفاءه تماما يعني العلاج...,طب العيون
توتر لما حد بيسألني عن حاجه مبعرفش اسأل اواطلب اي حاجه خارج البيت،بخاف لما حد في الشارع يمشي جنبي مبعرفش اتكلم قدام مجموعه من الناس ومع كل الحاجات دي بتوتر...,الصحة النفسية
اجريت عملية تصحيح نظر وبعد اجراء العملية بيوم واحد لاحظت بضعف في العين اليسرا مقارنة بالعين اليمني فهل ذالك طبيعي واليسري سوف تتحسن مع الوقت حيث لم يمر سوي يومين...,طب العيون
ماهي مده مفعول دوار بيتاسيرك 16 مجم لان الدكتور كتب لي عليه مع مدار للبول والظاهر عندي ماء زيادة بالاذن ارجو الرد من الدكاتره الافاضل .. ماهي المده لكي يتم...,التغذية والدواء
عندي حساسية في انفي مما يجعله يبدو منتفخ وكذلك آلام وعند نهوضي من النوم اجذ انفي يؤلمني هو ووجهي وكذللك اوساخ الانف اعزكم الله تكون كثيرة ويابسة وهذا يزعجني ما...,أنف وأذن وحنجرة
سلام عليكم وبعد لدي اخت مصابه بطيف توحد عمرها ٤ سنوات وتحسنت احوالها بسبب علاج المبكر.ولاكن تتكلم بكلمات معدوده هل ممكن زيادت معدل تلك الكلمات لكي تتكلم كالاطفال غير مصابين؟,صحة الطفل
لدي صعوبه في البلع لاكثر من ٤ اشهر وهي مستمره وانا قلق جدا ولكن ليس لدي اي اعراض اخره فقط صعوبه في البلع وطرقعه عند بلع الريق وعند شرب الماء...,أنف وأذن وحنجرة
نوبات من الخوف القلق و الخلعة على ابسط الاشياء و فقدان التوازن,الباطنة والغدد الصماء
"السلام عليكم
اريد ان اشرح حالة امي فهي لديها اصفرار في العين ولكن ليس في بياض العين كامل بل في زي ظفر العين هي بالاصل عندها ظفر عين بس مش...",طب العيون
